filename,risk_level,study_type,region
"1-2, 49, pages 91-96, 2020 apr 20 -- Springer Netherlands; Springer-Verlag; -- 9781112502002 -- a31f9d49076da152bf69c00fd6a83e08 -- Anna’s Archive.txt",high,other,canada
10.1177_00207314221122658.txt,high,modeling,brazil
10.31681-jetol.907757-1677427.txt,high,modeling,indonesia
10408363_2020_1783198 -- bbf79a49af9683366a5786835d8f9409 -- Anna’s Archive.txt,high,modeling,china
1368430220982068 -- cea51842e7b860961f47709dee091a54 -- Anna’s Archive.txt,high,diagnostic,china
Coronavirus-Disease-COVID-19-–-Statistics-and-Research.txt,high,modeling,china
Data Analysis of Covid19 Tweets.txt,high,modeling,india
EJ1344460.txt,high,vaccine,kuwait
IJCISIM_15 (1).txt,high,modeling,china
IJCISIM_15.txt,high,modeling,china
Impact-Of-Covid-19-Pandemic-On-Education-System.txt,medium,modeling,india
OVE-INFOS-42-ENGLISH.txt,high,other,france
PAHOEIHISCOVID-19200007_eng.txt,high,modeling,canada
The_COVID_19_Pandemic.txt,high,modeling,indonesia
bmj_m1328 -- 331d1414ed0818e5c082e17220dafec4 -- Anna’s Archive.txt,high,modeling,china
challenges-in-learning-english-online-during-the-covid-19-2lwmq0r2.txt,high,modeling,indonesia
j-phrp-2021-0100.txt,high,modeling,india
j_coi_2021_07_003 -- 5f87e346ddff9b197f91a65aa37efb42 -- Anna’s Archive.txt,high,diagnostic,south africa
j_tmaid_2020_101607 -- 0c7d9d815a534e1b91a312ddd9770650 -- Anna’s Archive.txt,high,other,china
main2222.txt,high,modeling,france
s10916-020-01645-z -- 89bf7fe814431095c86fba7b08eb0258 -- Anna’s Archive.txt,high,modeling,china
s10943-020-01041-4 -- 4a4db04e4cfbd613dbb29fc25249d1a3 -- Anna’s Archive.txt,high,other,global
s11481-020-09974-z -- b9a0f2296b73ec8b57b35480f778d101 -- Anna’s Archive.txt,high,modeling,china
tmi_13383 -- ceb67e687297b3afddb9aa4245477600 -- Anna’s Archive.txt,high,modeling,china
